Player,: Kubota Kakeru,,,,,,,,,,,,,,,,,,,,,
Session,: 20190502 Top Kanto League 4sec vs Meiji Univ.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,48:26.4,,,,,,,,,,,,,,,,,,,,,
End,02:50.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
48:33.1,00:06.7,0,1,5.604,1,3.702,60.808,29.02,35.89777432,139.9357879, T 12,-0.45,0.1,0,0,0,0,0,0,,-0.45,5.562
48:33.1,00:06.7,0,1,5.52,1,3.805,60.839,28.959,35.89777432,139.9357879, T 12,-0.45,0.1,0,0,0,0,0,0,,-0.45,5.562
48:33.2,00:06.8,0,1,5.436,1,3.906,60.87,28.897,35.89777432,139.9357879, T 12,-0.45,0.1,0,0,0,0,0,0,,-0.45,5.562
48:33.3,00:06.9,0,1,5.496,1,4.007,60.905,28.82,35.89777224,139.9357891, T 12,-0.05,0.1,0,0,0,0,0,0,,-0.05,5.526
48:33.3,00:06.9,0,1,5.556,1,4.11,60.939,28.743,35.89777224,139.9357891, T 12,-0.05,0.1,0,0,0,0,0,0,,-0.05,5.526
48:33.4,00:07.0,0,1,5.616,1,4.213,60.974,28.666,35.89777224,139.9357891, T 12,-0.05,0.1,0,0,0,0,0,0,,-0.05,5.526
48:33.5,00:07.1,0,1,5.496,1,4.316,60.992,28.591,35.89777022,139.9357897, T 12,-0.125,0.1,0,0,0,0,0,0,,-0.125,5.436
48:33.5,00:07.1,0,1,5.376,1,4.417,61.01,28.516,35.89777022,139.9357897, T 12,-0.125,0.1,0,0,0,0,0,0,,-0.125,5.436
48:33.6,00:07.2,0,1,5.256,1,4.515,61.028,28.442,35.89777022,139.9357897, T 12,-0.125,0.1,0,0,0,0,0,0,,-0.125,5.436
48:33.7,00:07.3,0,1,5.364,1,4.613,61.044,28.352,35.8977678,139.9357902, T 12,-0.025,0.1,0,0,0,0,0,0,,-0.025,5.418
48:33.7,00:07.3,0,1,5.472,1,4.714,61.06,28.263,35.8977678,139.9357902, T 12,-0.025,0.1,0,0,0,0,0,0,,-0.025,5.418
48:33.8,00:07.4,0,1,5.58,1,4.816,61.076,28.173,35.8977678,139.9357902, T 12,-0.025,0.1,0,0,0,0,0,0,,-0.025,5.418
48:33.9,00:07.5,0,1,5.46,1,4.918,61.108,28.111,35.89776611,139.9357913, T 12,-0.025,0.1,0,0,0,0,0,0,,-0.025,5.4
48:33.9,00:07.5,0,1,5.34,1,5.018,61.139,28.049,35.89776611,139.9357913, T 12,-0.025,0.1,0,0,0,0,0,0,,-0.025,5.4
48:34.0,00:07.6,0,1,5.22,1,5.116,61.17,27.986,35.89776611,139.9357913, T 12,-0.025,0.1,0,0,0,0,0,0,,-0.025,5.4
48:34.1,00:07.7,0,1,5.256,1,5.213,61.215,27.925,35.89776446,139.9357927, T 12,-0.175,0.1,0,0,0,0,0,0,,-0.175,5.274
48:34.1,00:07.7,0,1,5.292,1,5.311,61.26,27.864,35.89776446,139.9357927, T 12,-0.175,0.1,0,0,0,0,0,0,,-0.175,5.274
48:34.2,00:07.8,0,1,5.328,1,5.409,61.305,27.803,35.89776446,139.9357927, T 12,-0.175,0.1,0,0,0,0,0,0,,-0.175,5.274
48:34.3,00:07.9,0,1,5.136,1,5.506,61.334,27.753,35.89776311,139.9357937, T 12,-0.325,0.1,0,0,0,0,0,0,,-0.325,5.04
48:34.3,00:07.9,0,1,4.944,1,5.599,61.363,27.703,35.89776311,139.9357937, T 12,-0.325,0.1,0,0,0,0,0,0,,-0.325,5.04
48:34.4,00:08.0,0,1,4.752,1,5.689,61.391,27.653,35.89776311,139.9357937, T 12,-0.325,0.1,0,0,0,0,0,0,,-0.325,5.04
48:34.5,00:08.1,0,1,5.052,1,5.783,61.396,27.556,35.89776048,139.9357939, T 12,0.225,0.1,0,0,0,0,0,0,,0.225,5.202
48:34.5,00:08.1,0,1,5.352,1,5.88,61.401,27.458,35.89776048,139.9357939, T 12,0.225,0.1,0,0,0,0,0,0,,0.225,5.202
48:34.6,00:08.2,0,1,5.652,1,5.982,61.406,27.361,35.89776048,139.9357939, T 12,0.225,0.1,0,0,0,0,0,0,,0.225,5.202
48:34.7,00:08.3,0,1,5.46,1,6.085,61.397,27.281,35.89775833,139.9357936, T 12,0.225,0.1,0,0,0,0,0,0,,0.225,5.364
48:34.7,00:08.3,0,1,5.268,1,6.184,61.388,27.202,35.89775833,139.9357936, T 12,0.225,0.1,0,0,0,0,0,0,,0.225,5.364
48:34.8,00:08.4,0,1,5.076,1,6.28,61.379,27.122,35.89775833,139.9357936, T 12,0.225,0.1,0,0,0,0,0,0,,0.225,5.364
