"時間","default","セットプレー","選手名","攻撃","守備","反則"
="0:15:15:97",,,"森海渡","パス",,
="0:15:18:67",,,"池谷祐輔","ボールロスト",,
="0:15:19:16","ポゼッションスタート",,,,,
="0:15:19:16","筑波大学",,,,,
="0:15:26:96","ポゼッションエンド",,,,,
="0:15:26:96","筑波大学",,,,,
="0:15:27:60",,,"山川哲史",,"インターセプト",
="0:15:28:18",,,"山川哲史","パス",,
="0:15:29:69",,,"知久航介","パス",,
="0:15:32:92",,,"高嶺朋樹","パス",,
="0:15:36:44",,,"加藤匠人","クロス",,
="0:15:45:47","ポゼッションスタート",,,,,
="0:15:45:47","相手チーム",,,,,
="0:15:51:96",,,"加藤匠人","枠内シュート",,
="0:15:58:33","ポゼッションエンド",,,,,
="0:15:58:33","相手チーム",,,,,
="0:16:21:21",,,"加藤匠人",,"カット",
="0:16:23:92",,,"加藤匠人","パス",,
="0:16:24:49","ポゼッションスタート",,,,,
="0:16:24:49","筑波大学",,,,,
="0:16:25:05",,,"高嶺朋樹","パス",,
="0:16:26:25","ポゼッションエンド",,,,,
="0:16:26:25","筑波大学",,,,,
="0:16:26:48",,,"井川空","パス",,
="0:16:29:39",,,"山川哲史","パス",,
="0:16:32:93",,,"知久航介","パス",,
="0:16:36:58",,,"山川哲史","パス",,
="0:16:39:55",,,"手塚貴大","パス",,
="0:16:45:84",,,"加藤匠人","パス",,
="0:16:51:41",,,"高嶺朋樹","パス",,
="0:16:52:44",,,"渡邊陽","パス",,
="0:16:55:68",,,"池谷祐輔","パス",,
="0:16:55:68",,,,"ボールロスト",,
="0:17:00:64","相手チーム","スローイン",,,,
="0:17:08:62",,,"生地慶充",,"カット",
="0:17:16:86","ポゼッションスタート",,,,,
="0:17:16:86","筑波大学",,,,,
="0:17:20:02",,"スローイン","知久航介",,,
="0:17:23:42","ポゼッションエンド",,,,,
="0:17:23:42","筑波大学",,,,,
="0:17:27:24",,,"山川哲史","パス",,
="0:17:29:95",,,"渡邊陽","パス",,
="0:17:32:45",,,"加藤匠人","パス",,
="0:17:35:00",,,"手塚貴大","パス",,
="0:17:37:10",,,"井川空","パス",,
="0:17:38:97",,,"加藤潤","パス",,
="0:17:40:89",,,"井川空","パス",,
="0:17:42:37",,,"渡邊陽","パス",,
="0:17:48:92",,,"知久航介","パス",,
="0:17:52:39","ポゼッションスタート",,,,,
="0:17:52:39","相手チーム",,,,,
="0:17:52:75",,,"高嶺朋樹","パス",,
="0:17:54:21","ポゼッションエンド",,,,,
="0:17:54:21","相手チーム",,,,,
="0:18:41:51",,,"生地慶充",,"シュートブロック",
="0:18:43:25","ポゼッションスタート",,,,,
="0:18:43:25","筑波大学",,,,,
="0:18:43:86",,,"生地慶充","パス",,
="0:18:44:78","ポゼッションエンド",,,,,
="0:18:44:78","筑波大学",,,,,
="0:18:50:54",,,"高嶺朋樹","パス",,
="0:18:53:27",,,"生地慶充","パス",,
="0:18:55:42",,,"知久航介","パス",,
="0:19:00:41",,,"山川哲史","パス",,
="0:19:03:17",,,"手塚貴大","パス",,
="0:19:04:32",,,"井川空","パス",,
="0:19:07:06",,,"手塚貴大","パス",,
="0:19:09:61",,,"山川哲史","パス",,
="0:19:10:81",,,"高嶺朋樹","パス",,
="0:19:13:47",,,"山川哲史","パス",,
="0:19:15:69",,,"渡邊陽","パス",,
="0:19:17:48",,,"山川哲史","パス",,
="0:19:20:48",,,"渡邊陽","パス",,
="0:19:23:31",,,"山川哲史","パス",,
="0:19:25:15","ポゼッションスタート",,,,,
="0:19:25:15","筑波大学",,,,,
="0:19:25:69",,,"加藤匠人","ボールロスト",,
="0:19:27:13","相手チーム","スローイン",,,,
="0:19:52:01","ポゼッションエンド",,,,,
="0:19:52:01","筑波大学",,,,,
="0:19:53:29",,,"井川空","パス",,
="0:19:54:97",,,"渡邊陽","パス",,
="0:19:55:92",,,"高嶺朋樹","パス",,
="0:19:56:56",,,"渡邊陽","パス",,
="0:19:58:65",,,"手塚貴大","パス",,
="0:20:02:34",,,"山川哲史","パス",,
="0:20:05:56",,"スローイン","知久航介",,,
="0:20:05:97","ポゼッションスタート",,,,,
="0:20:05:97","筑波大学",,,,,
="0:20:07:35",,,"知久航介","ボールロスト",,
="0:20:14:10","ポゼッションエンド",,,,,
="0:20:14:10","筑波大学",,,,,
="0:20:18:75",,,"山川哲史","パス",,
="0:20:26:58",,,"阿部航斗","パス",,
="0:20:30:44",,,"手塚貴大","パス",,
="0:20:33:09",,,"阿部航斗","パス",,
="0:20:36:86",,,"山川哲史","パス",,
="0:20:40:89",,,"生地慶充",,,"ファール"
="0:20:43:09","ポゼッションスタート",,,,,
="0:20:43:09","相手チーム",,,,,
="0:20:56:75","相手チーム","FK",,,,
