Player,: Iwamoto Sho,,,,,,,,,,,,,,,,,,,,,
Session,: 20190502 Top Kanto League 4sec vs Meiji Univ.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,28:35.6,,,,,,,,,,,,,,,,,,,,,
End,00:58.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
28:41.5,00:05.9,0,1,0,1,0,47.214,40.762,35.89770049,139.9358685, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.5,00:05.9,0,1,0,1,0,47.214,40.762,35.89770049,139.9358685, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.6,00:06.0,0,1,0,1,0,47.2,40.747,35.89770049,139.9358685, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.7,00:06.1,0,1,0,1,0,47.2,40.747,35.89770009,139.9358682, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.7,00:06.1,0,1,0,1,0,47.2,40.747,35.89770009,139.9358682, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.8,00:06.2,0,1,0,1,0,47.176,40.703,35.89770009,139.9358682, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.9,00:06.3,0,1,0,1,0,47.176,40.703,35.89769974,139.9358687, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.9,00:06.3,0,1,0,1,0,47.176,40.703,35.89769974,139.9358687, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:42.0,00:06.4,0,1,0,1,0,47.221,40.663,35.89769974,139.9358687, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:42.1,00:06.5,0,1,0,1,0,47.221,40.663,35.8976992,139.9358689, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.1,00:06.5,0,1,0,1,0,47.221,40.663,35.8976992,139.9358689, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.2,00:06.6,0,1,0,1,0,47.24,40.604,35.8976992,139.9358689, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.3,00:06.7,0,1,0,1,0,47.24,40.604,35.8976986,139.9358698, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.3,00:06.7,0,1,0,1,0,47.24,40.604,35.8976986,139.9358698, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.4,00:06.8,0,1,0,1,0,47.319,40.537,35.8976986,139.9358698, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.5,00:06.9,0,1,0,1,0,47.319,40.537,35.89769832,139.9358701, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.5,00:06.9,0,1,0,1,0,47.319,40.537,35.89769832,139.9358701, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.6,00:07.0,0,1,0,1,0,47.348,40.506,35.89769832,139.9358701, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.7,00:07.1,0,1,0,1,0,47.348,40.506,35.89769812,139.9358703, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.7,00:07.1,0,1,0,1,0,47.348,40.506,35.89769812,139.9358703, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.8,00:07.2,0,1,0,1,0,47.364,40.484,35.89769812,139.9358703, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.9,00:07.3,0,1,0,1,0,47.364,40.484,35.89769778,139.9358704, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:42.9,00:07.3,0,1,0,1,0,47.364,40.484,35.89769778,139.9358704, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.0,00:07.4,0,1,0,1,0,47.366,40.447,35.89769778,139.9358704, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.1,00:07.5,0,1,0,1,0,47.366,40.447,35.89769705,139.9358703, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.1,00:07.5,0,1,0,1,0,47.366,40.447,35.89769705,139.9358703, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.2,00:07.6,0,1,0,1,0,47.361,40.365,35.89769705,139.9358703, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.3,00:07.7,0,1,0,1,0,47.361,40.365,35.89769647,139.9358699, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.3,00:07.7,0,1,0,1,0,47.361,40.365,35.89769647,139.9358699, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.4,00:07.8,0,1,0,1,0,47.328,40.301,35.89769647,139.9358699, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.5,00:07.9,0,1,0,1,0,47.328,40.301,35.89769604,139.9358696, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.5,00:07.9,0,1,0,1,0,47.328,40.301,35.89769604,139.9358696, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.6,00:08.0,0,1,0,1,0,47.299,40.254,35.89769604,139.9358696, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.7,00:08.1,0,1,0,1,0,47.299,40.254,35.89769549,139.9358696, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.7,00:08.1,0,1,0,1,0,47.299,40.254,35.89769549,139.9358696, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.8,00:08.2,0,1,0,1,0,47.302,40.192,35.89769549,139.9358696, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.9,00:08.3,0,1,0,1,0,47.302,40.192,35.89769512,139.9358698, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:43.9,00:08.3,0,1,0,1,0,47.302,40.192,35.89769512,139.9358698, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.0,00:08.4,0,1,0,1,0,47.316,40.151,35.89769512,139.9358698, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.1,00:08.5,0,1,0,1,0,47.316,40.151,35.89769473,139.9358702, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.1,00:08.5,0,1,0,1,0,47.316,40.151,35.89769473,139.9358702, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.2,00:08.6,0,1,0,1,0,47.357,40.108,35.89769473,139.9358702, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.3,00:08.7,0,1,0,1,0,47.357,40.108,35.89769459,139.935871, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.3,00:08.7,0,1,0,1,0,47.357,40.108,35.89769459,139.935871, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.4,00:08.8,0,1,0,1,0,47.421,40.093,35.89769459,139.935871, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.5,00:08.9,0,1,0,1,0,47.421,40.093,35.89769432,139.9358715, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.5,00:08.9,0,1,0,1,0,47.421,40.093,35.89769432,139.9358715, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.6,00:09.0,0,1,0,1,0,47.471,40.062,35.89769432,139.9358715, T 10,0,0,0,0,0,0,0,0,71-75,0,0
28:44.7,00:09.1,0,1,0,1,0,47.471,40.062,35.89769418,139.935872, T 10,0,0,0,0,0,0,0,0,71-75,0,0
