Player,: Oidi Yoshiatsu,,,,,,,,,,,,,,,,,,,,,
Session,: 20190506 Top Kanto League 5sec vs Juntendo Univ.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,30:35.2,,,,,,,,,,,,,,,,,,,,,
End,04:25.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
30:42.5,00:07.3,0,1,0,1,0,22.427,55.871,35.8978187,139.9358047, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.6,00:07.4,0,1,0,1,0,22.454,55.907,35.8978187,139.9358047, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.7,00:07.5,0,1,0,1,0,22.454,55.907,35.89781896,139.9358048, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.7,00:07.5,0,1,0,1,0,22.454,55.907,35.89781896,139.9358048, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.8,00:07.6,0,1,0,1,0,22.465,55.935,35.89781896,139.9358048, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.9,00:07.7,0,1,0,1,0,22.465,55.935,35.8978191,139.9358051, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.9,00:07.7,0,1,0,1,0,22.465,55.935,35.8978191,139.9358051, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.0,00:07.8,0,1,0,1,0,22.497,55.951,35.8978191,139.9358051, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.1,00:07.9,0,1,0,1,0,22.497,55.951,35.89781931,139.9358055, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.1,00:07.9,0,1,0,1,0,22.497,55.951,35.89781931,139.9358055, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.2,00:08.0,0,1,0,1,0,22.531,55.974,35.89781931,139.9358055, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.3,00:08.1,0,1,0,1,0,22.531,55.974,35.8978197,139.935806, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.3,00:08.1,0,1,0,1,0,22.531,55.974,35.8978197,139.935806, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.4,00:08.2,0,1,0,1,0,22.572,56.018,35.8978197,139.935806, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.5,00:08.3,0,1,0,1,0,22.572,56.018,35.89781995,139.9358064, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.5,00:08.3,0,1,0,1,0,22.572,56.018,35.89781995,139.9358064, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.6,00:08.4,0,1,0,1,0,22.612,56.045,35.89781995,139.9358064, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.7,00:08.5,0,1,0,1,0,22.612,56.045,35.89782013,139.9358067, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.7,00:08.5,0,1,0,1,0,22.612,56.045,35.89782013,139.9358067, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.8,00:08.6,0,1,0,1,0,22.639,56.065,35.89782013,139.9358067, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.9,00:08.7,0,1,0,1,0,22.639,56.065,35.89782034,139.9358071, T 12,0,0,0,0,0,0,0,0,,0,0
30:43.9,00:08.7,0,1,0,1,0,22.639,56.065,35.89782034,139.9358071, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.0,00:08.8,0,1,0,1,0,22.671,56.088,35.89782034,139.9358071, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.1,00:08.9,0,1,0,1,0,22.671,56.088,35.89782067,139.9358074, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.1,00:08.9,0,1,0,1,0,22.671,56.088,35.89782067,139.9358074, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.2,00:09.0,0,1,0,1,0,22.698,56.125,35.89782067,139.9358074, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.3,00:09.1,0,1,0,1,0,22.698,56.125,35.89782098,139.9358078, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.3,00:09.1,0,1,0,1,0,22.698,56.125,35.89782098,139.9358078, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.4,00:09.2,0,1,0,1,0,22.738,56.16,35.89782098,139.9358078, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.5,00:09.3,0,1,0,1,0,22.738,56.16,35.89782123,139.9358083, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.5,00:09.3,0,1,0,1,0,22.738,56.16,35.89782123,139.9358083, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.6,00:09.4,0,1,0,1,0,22.778,56.187,35.89782123,139.9358083, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.7,00:09.5,0,1,0,1,0,22.778,56.187,35.89782173,139.9358088, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.7,00:09.5,0,1,0,1,0,22.778,56.187,35.89782173,139.9358088, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.8,00:09.6,0,1,0,1,0,22.827,56.242,35.89782173,139.9358088, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.9,00:09.7,0,1,0,1,0,22.827,56.242,35.89782201,139.9358092, T 12,0,0,0,0,0,0,0,0,,0,0
30:44.9,00:09.7,0,1,0,1,0,22.827,56.242,35.89782201,139.9358092, T 12,0,0,0,0,0,0,0,0,,0,0
30:45.0,00:09.8,0,1,0,1,0,22.86,56.274,35.89782201,139.9358092, T 12,0,0,0,0,0,0,0,0,,0,0
30:45.1,00:09.9,0,1,0,1,0,22.86,56.274,35.89782212,139.9358094, T 12,0,0,0,0,0,0,0,0,,0,0
30:45.1,00:09.9,0,1,0,1,0,22.86,56.274,35.89782212,139.9358094, T 12,0,0,0,0,0,0,0,0,,0,0
30:45.2,00:10.0,0,1,0,1,0,22.884,56.286,35.89782212,139.9358094, T 12,0,0,0,0,0,0,0,0,,0,0
30:45.3,00:10.1,0,1,0,1,0,22.884,56.286,35.89782229,139.9358097, T 12,0,0,0,0,0,0,0,0,,0,0
30:45.3,00:10.1,0,1,0,1,0,22.884,56.286,35.89782229,139.9358097, T 12,0,0,0,0,0,0,0,0,,0,0
30:45.4,00:10.2,0,1,0,1,0,22.909,56.305,35.89782229,139.9358097, T 12,0,0,0,0,0,0,0,0,,0,0
