"時間","default","選手名","攻撃","守備","キーパーアクション"
1672.839506,,"山原怜音",,"カット",
1675.809142,"ポゼッションスタート",,,,
1675.809142,"筑波大学",,,,
1684.751418,,"井川空","枠外シュート",,
1685.952619,"ポゼッションエンド",,,,
1685.952619,"筑波大学",,,,
1721.154488,,"山川哲史",,"ブロック",
1724.824825,"ポゼッションスタート",,,,
1724.824825,"筑波大学",,,,
1734.434434,"ポゼッションエンド",,,,
1734.434434,"筑波大学",,,,
1737.037037,"ポゼッションスタート",,,,
1737.037037,"相手チーム",,,,
1742.375709,"ポゼッションエンド",,,,
1742.375709,"相手チーム",,,,
1758.458458,"ポゼッションスタート",,,,
1758.458458,"筑波大学",,,,
1759.259259,,"井川空","ドリブル",,
1769.269269,"ポゼッションエンド",,,,
1769.269269,"筑波大学",,,,
1784.351018,,"山川哲史",,"ブロック",
1786.619953,"ポゼッションスタート",,,,
1786.619953,"筑波大学",,,,
1790.590591,"ポゼッションエンド",,,,
1790.590591,"筑波大学",,,,
1793.960627,"ポゼッションスタート",,,,
1793.960627,"筑波大学",,,,
1799.532866,"ポゼッションエンド",,,,
1799.532866,"筑波大学",,,,
1801.935269,"ポゼッションスタート",,,,
1801.935269,"筑波大学",,,,
1803.03637,,"三浦雅人",,"カット",
1817.183851,"ポゼッションスタート",,,,
1817.183851,"筑波大学",,,,
1824.824825,,"渡邊陽","ドリブル",,
1836.236236,"ポゼッションエンド",,,,
1836.236236,"筑波大学",,,,
1842.676009,"ポゼッションスタート",,,,
1842.676009,"筑波大学",,,,
1853.08642,,"岩本翔","枠内シュート",,
1860.427094,,"渡邊陽","枠外シュート",,
1860.660661,"ポゼッションエンド",,,,
1860.660661,"筑波大学",,,,
1891.658325,,"山川哲史",,"ブロック",
1895.662329,"ポゼッションスタート",,,,
1895.662329,"筑波大学",,,,
1900.2002,,"三浦雅人",,"カット",
1902.93627,"ポゼッションエンド",,,,
1902.93627,"筑波大学",,,,
1907.774441,"ポゼッションスタート",,,,
1907.774441,"筑波大学",,,,
1921.721722,"ポゼッションエンド",,,,
1921.721722,"筑波大学",,,,
1925.291959,"ポゼッションスタート",,,,
1925.291959,"相手チーム",,,,
1937.837838,,"阿部航斗",,,"キャッチ"
1938.304972,"ポゼッションエンド",,,,
1938.304972,"相手チーム",,,,
1948.548549,"ポゼッションスタート",,,,
1948.548549,"筑波大学",,,,
1969.269269,,"渡邊陽","ドリブル",,
1985.485485,"ポゼッションエンド",,,,
1985.485485,"筑波大学",,,,
2011.745078,"ポゼッションスタート",,,,
2011.745078,"相手チーム",,,,
2020.587254,,"高嶺朋樹",,"カット",
2020.987654,"ポゼッションエンド",,,,
2020.987654,"相手チーム",,,,
2025.325325,"ポゼッションスタート",,,,
2025.325325,"筑波大学",,,,
2028.261595,"ポゼッションエンド",,,,
2028.261595,"筑波大学",,,,
2046.346346,"ポゼッションスタート",,,,
2046.346346,"筑波大学",,,,
2093.927261,,"角田涼太郎",,"インターセプト",
2103.003003,"ポゼッションエンド",,,,
2103.003003,"筑波大学",,,,
2110.877544,,"渡邊陽",,"ブロック",
2119.886553,"ポゼッションスタート",,,,
2119.886553,"相手チーム",,,,
2123.723724,"ポゼッションエンド",,,,
2123.723724,"相手チーム",,,,
2123.790457,"相手チーム",,,"被枠外シュート",
2167.0337,"ポゼッションスタート",,,,
2167.0337,"筑波大学",,,,
2169.536203,,"岩本翔","ドリブル",,
2177.777778,"ポゼッションエンド",,,,
2177.777778,"筑波大学",,,,
2179.412746,,"森海渡","クロス",,
2186.419753,"ポゼッションスタート",,,,
2186.419753,"相手チーム",,,,
2188.488488,,"渡邊陽",,"インターセプト",
2189.389389,"ポゼッションエンド",,,,
2189.389389,"相手チーム",,,,
2191.024358,"ポゼッションスタート",,,,
2191.024358,"筑波大学",,,,
2194.961628,,"高嶺朋樹","枠内シュート",,
2196.429763,"ポゼッションエンド",,,,
2196.429763,"筑波大学",,,,
2226.860194,"ポゼッションスタート",,,,
2226.860194,"筑波大学",,,,
2237.804471,,"高嶺朋樹","ドリブル",,
2275.709042,,"高嶺朋樹","クロス",,
2278.545212,"ポゼッションエンド",,,,
2278.545212,"筑波大学",,,,
2311.845179,,"井川空",,"インターセプト",
2312.84618,"ポゼッションスタート",,,,
2312.84618,"筑波大学",,,,
2323.223223,"ポゼッションエンド",,,,
2323.223223,"筑波大学",,,,
2335.568902,"ポゼッションスタート",,,,
2335.568902,"相手チーム",,,,
2346.146146,"ポゼッションエンド",,,,
2346.146146,"相手チーム",,,,
2346.41308,,"阿部航斗",,"クリア",
2352.952953,"ポゼッションスタート",,,,
2352.952953,"筑波大学",,,,
2370.303637,"ポゼッションエンド",,,,
2370.303637,"筑波大学",,,,
2373.673674,,"渡邊陽",,"インターセプト",
2373.940607,"ポゼッションスタート",,,,
2373.940607,"筑波大学",,,,
2389.089089,,"山川哲史",,"インターセプト",
2399.733066,,"加藤匠人","枠内シュート",,
2401.534868,"ポゼッションエンド",,,,
2401.534868,"筑波大学",,,,
2408.208208,,"森海渡","枠外シュート",,
2435.235235,,"角田涼太郎",,"カット",
2441.041041,,"角田涼太郎",,"クリア",
2453.019686,"ポゼッションスタート",,,,
2453.019686,"筑波大学",,,,
2481.815148,,"山原怜音","枠内シュート",,
2485.285285,"ポゼッションエンド",,,,
2485.285285,"筑波大学",,,,
2550.417084,,"山原怜音","枠内シュート",,
2559.65966,"ポゼッションスタート",,,,
2559.65966,"筑波大学",,,,
2603.269937,"ポゼッションエンド",,,,
2603.269937,"筑波大学",,,,
2662.662663,,"加藤匠人",,"カット",
2667.067067,"ポゼッションスタート",,,,
2667.067067,"筑波大学",,,,
2668.968969,,"山原怜音","ドリブル",,
2674.441108,,"岩本翔","ドリブル",,
2697.497497,,"山原怜音","クロス",,
2702.702703,"ポゼッションエンド",,,,
2702.702703,"筑波大学",,,,
