"時間","default","セットプレー","選手名","攻撃","守備","反則"
="0:22:17:72",,,"渡邊陽","パス",,
="0:22:20:20",,,"角田涼太郎","パス",,
="0:22:23:40",,,"山川哲史","パス",,
="0:22:28:00",,,"森海渡","ボールロスト",,
="0:22:30:48","ポゼッションエンド",,,,,
="0:22:30:48","筑波大学",,,,,
="0:22:45:08","相手チーム","スローイン",,,,
="0:22:49:24","ポゼッションスタート",,,,,
="0:22:49:24","筑波大学",,,,,
="0:22:53:00",,,"渡邊陽","パス",,
="0:22:59:72",,,"山原怜音","パス",,
="0:23:01:56",,,"三笘薫","パス",,
="0:23:04:40",,,"山原怜音","パス",,
="0:23:07:12",,,"渡邊陽","パス",,
="0:23:07:68",,,"高嶺朋樹","パス",,
="0:23:09:88",,,"渡邊陽","パス",,
="0:23:11:96",,,"角田涼太郎","パス",,
="0:23:16:64",,,"山川哲史","ボールロスト",,
="0:23:18:96","ポゼッションエンド",,,,,
="0:23:18:96","筑波大学",,,,,
="0:23:43:84","相手チーム","GK",,,,
="0:24:00:00","相手チーム","スローイン",,,,
="0:24:10:44",,"スローイン","井川空",,,
="0:24:11:04","ポゼッションスタート",,,,,
="0:24:11:04","筑波大学",,,,,
="0:24:12:92",,,"山川哲史","パス",,
="0:24:23:96",,,"角田涼太郎","パス",,
="0:24:27:64",,,"阿部航斗","パス",,
="0:24:30:12",,,"高嶺朋樹","パス",,
="0:24:30:12",,,,"ボールロスト",,
="0:24:34:08","ポゼッションエンド",,,,,
="0:24:34:08","筑波大学",,,,,
="0:24:44:16","相手チーム","スローイン",,,,
="0:24:49:72",,"スローイン","山川哲史",,,
="0:24:50:48","ポゼッションスタート",,,,,
="0:24:50:48","筑波大学",,,,,
="0:24:53:80",,,"阿部航斗","パス",,
="0:24:56:52",,,"角田涼太郎","パス",,
="0:25:01:96",,,"山原怜音","パス",,
="0:25:05:80",,,"角田涼太郎","パス",,
="0:25:05:80",,,,"ボールロスト",,
="0:25:08:28","相手チーム",,,,,"ファール"
="0:25:12:68",,"FK","角田涼太郎",,,
="0:25:18:00",,,"高嶺朋樹","パス",,
="0:25:20:28",,,"渡邊陽","パス",,
="0:25:20:96",,,"森海渡","パス",,
="0:25:24:72",,,"山原怜音","パス",,
="0:25:26:92",,,"角田涼太郎","パス",,
="0:25:28:64",,,"高嶺朋樹","パス",,
="0:25:29:48",,,"渡邊陽","パス",,
="0:25:32:00",,,"角田涼太郎","パス",,
="0:25:40:84",,,"三笘薫","パス",,
="0:25:42:00",,,"渡邊陽","ボールロスト",,
="0:25:45:64","ポゼッションエンド",,,,,
="0:25:45:64","筑波大学",,,,,
="0:25:51:48","ポゼッションスタート",,,,,
="0:25:51:48","筑波大学",,,,,
="0:25:52:20",,,"山川哲史","パス",,
="0:25:56:92",,,"高嶺朋樹","パス",,
="0:26:06:20",,,"山原怜音","パス",,
="0:26:07:60",,,"加藤匠人","パス",,
="0:26:08:96",,,"森海渡","パス",,
="0:26:09:16","相手チーム",,,,,"ファール"
="0:26:11:48","ポゼッションエンド",,,,,
="0:26:11:48","筑波大学",,,,,
="0:27:48:08",,"FK","加藤匠人","枠外シュート",,
="0:28:25:52",,"CK","山原怜音",,,
="0:28:38:00","ポゼッションスタート",,,,,
="0:28:38:00","筑波大学",,,,,
="0:28:40:28",,,"池谷祐輔","パス",,
="0:28:41:56",,,"三笘薫","ボールロスト",,
="0:28:46:40","ポゼッションエンド",,,,,
="0:28:46:40","筑波大学",,,,,
="0:28:50:32","相手チーム",,,,,"ファール"
="0:28:56:60",,"FK","角田涼太郎",,,
="0:28:58:64","ポゼッションスタート",,,,,
="0:28:58:64","筑波大学",,,,,
="0:28:59:80",,,"阿部航斗","パス",,
="0:29:08:56",,,"高嶺朋樹","パス",,
="0:29:13:20",,,,"パス",,
="0:29:15:60",,,"高嶺朋樹","パス",,
="0:29:21:96","得点",,"森海渡","枠内シュート",,
="0:29:23:40","ポゼッションエンド",,,,,
="0:29:23:40","筑波大学",,,,,
="0:29:54:80","相手チーム","キックオフ",,,,
="0:30:04:20",,"スローイン","井川空",,,
="0:30:06:12","ポゼッションスタート",,,,,
="0:30:06:12","筑波大学",,,,,
="0:30:08:12",,,"山川哲史","パス",,
="0:30:10:48",,,"角田涼太郎","パス",,
="0:30:14:20",,,"渡邊陽","パス",,
="0:30:16:84",,,"三笘薫","パス",,
="0:30:20:88","ポゼッションエンド",,,,,
="0:30:20:88","筑波大学",,,,,
="0:30:21:00",,,"池谷祐輔","ボールロスト",,
="0:30:23:40",,,"池谷祐輔",,,"ファール"
="0:30:32:36","相手チーム","FK",,,,
="0:30:47:28","ポゼッションスタート",,,,,
="0:30:47:28","相手チーム",,,,,
="0:30:54:88","相手チーム",,,,,"ファール"
="0:30:58:64",,"FK","角田涼太郎",,,
="0:30:59:40","ポゼッションエンド",,,,,
="0:30:59:40","相手チーム",,,,,
="0:31:01:44",,,"高嶺朋樹","パス",,
="0:31:02:88","ポゼッションスタート",,,,,
="0:31:02:88","筑波大学",,,,,
="0:31:03:36",,,"角田涼太郎","パス",,
="0:31:05:20",,,"渡邊陽","パス",,
="0:31:06:60",,,"角田涼太郎","パス",,
="0:31:08:32",,,"三笘薫","パス",,
="0:31:09:84",,,"渡邊陽","パス",,
="0:31:10:76",,,"山原怜音","パス",,
="0:31:14:08",,,"角田涼太郎","ドリブル",,
="0:31:17:80",,,"角田涼太郎","パス",,
="0:31:17:80",,,,"ボールロスト",,
="0:31:21:64","ポゼッションエンド",,,,,
="0:31:21:64","筑波大学",,,,,
="0:31:26:36","ポゼッションスタート",,,,,
="0:31:26:36","相手チーム",,,,,
="0:31:39:40",,,"山川哲史",,"ブロック",
="0:31:40:12","相手チーム",,,,,"ファール"
="0:31:41:36","ポゼッションエンド",,,,,
="0:31:41:36","相手チーム",,,,,
="0:31:47:96",,"FK","高嶺朋樹",,,
="0:31:49:08","ポゼッションスタート",,,,,
="0:31:49:08","筑波大学",,,,,
="0:31:50:60",,,"山川哲史","パス",,
="0:31:51:80",,,"井川空","ボールロスト",,
="0:31:55:76","ポゼッションエンド",,,,,
="0:31:55:76","筑波大学",,,,,
="0:32:01:00",,"スローイン","井川空",,,
="0:32:01:52","ポゼッションスタート",,,,,
="0:32:01:52","筑波大学",,,,,
="0:32:03:52",,,"山川哲史","パス",,
="0:32:06:28",,,"高嶺朋樹","パス",,
="0:32:13:12",,,"山原怜音","ドリブル",,
="0:32:14:96",,,"山原怜音","クロス",,
="0:32:15:88",,,"加藤匠人","ボールロスト",,
="0:32:18:88",,,"渡邊陽","シュート",,
="0:32:20:68","ポゼッションエンド",,,,,
="0:32:20:68","筑波大学",,,,,
="0:32:21:48",,,"池谷祐輔",,,"ファール"
="0:32:44:96","ポゼッションスタート",,,,,
="0:32:44:96","相手チーム",,,,,
="0:32:47:44","相手チーム","FK",,,,
="0:32:50:00","ポゼッションエンド",,,,,
="0:32:50:00","相手チーム",,,,,
="0:32:57:84","ポゼッションスタート",,,,,
="0:32:57:84","相手チーム",,,,,
="0:33:01:12",,,"高嶺朋樹",,"カット",
="0:33:03:84",,,"高嶺朋樹","ボールロスト",,
="0:33:09:32",,,"加藤匠人",,"カット",
="0:33:11:40","ポゼッションエンド",,,,,
="0:33:11:40","相手チーム",,,,,
="0:33:13:36","ポゼッションスタート",,,,,
="0:33:13:36","筑波大学",,,,,
="0:33:13:44",,,"加藤匠人","ドリブル",,
="0:33:14:28",,,"加藤匠人","パス",,
="0:33:16:84",,,"井川空","パス",,
="0:33:20:68",,,"池谷祐輔","ドリブル",,
="0:33:24:44","ポゼッションエンド",,,,,
="0:33:24:44","筑波大学",,,,,
="0:33:30:84",,"スローイン","井川空",,,
="0:33:32:08",,,"加藤匠人","パス",,
="0:33:32:12","ポゼッションスタート",,,,,
="0:33:32:12","筑波大学",,,,,
="0:33:34:20",,,"井川空","ドリブル",,
="0:33:37:04","ポゼッションエンド",,,,,
="0:33:37:04","筑波大学",,,,,
="0:33:41:64",,"スローイン","井川空",,,
="0:33:43:72","ポゼッションスタート",,,,,
="0:33:43:72","筑波大学",,,,,
="0:33:46:20",,,"山川哲史","パス",,
="0:33:48:76",,,"角田涼太郎","パス",,
="0:33:51:88",,,"山原怜音","ドリブル",,
="0:33:55:84",,,"山原怜音","パス",,
="0:33:57:76",,,"三笘薫","ドリブル",,
="0:33:59:48",,,"三笘薫","パス",,
="0:33:59:48",,,,"ボールロスト",,
="0:34:01:16","ポゼッションエンド",,,,,
="0:34:01:16","筑波大学",,,,,
="0:34:19:52",,"CK","山原怜音",,,
="0:34:48:12","ポゼッションスタート",,,,,
="0:34:48:12","相手チーム",,,,,
="0:34:52:04",,,"山川哲史",,"ブロック",
="0:34:57:24","ポゼッションエンド",,,,,
="0:34:57:24","相手チーム",,,,,
="0:34:57:56",,,"池谷祐輔","パス",,
="0:34:58:68",,,"井川空","パス",,
="0:34:59:92","ポゼッションスタート",,,,,
="0:34:59:92","筑波大学",,,,,
="0:35:03:56",,,"高嶺朋樹","パス",,
="0:35:05:80",,,"三笘薫","ドリブル",,
="0:35:09:52","相手チーム",,,,,"ファール"
="0:35:12:36","ポゼッションエンド",,,,,
="0:35:12:36","筑波大学",,,,,
="0:36:06:56",,"FK","山原怜音","枠外シュート",,
="0:36:46:08",,,"山川哲史",,"ブロック",
="0:36:48:12","相手チーム",,,,,"ファール"
="0:37:42:00",,"FK","角田涼太郎","パス",,
="0:37:51:16","ポゼッションスタート",,,,,
="0:37:51:16","筑波大学",,,,,
="0:37:52:00",,,"三笘薫","ドリブル",,
="0:37:58:64",,,"山原怜音","パス",,
="0:38:00:12",,,"渡邊陽","パス",,
="0:38:02:32",,,"山原怜音","パス",,
="0:38:03:60",,,"三笘薫","パス",,
="0:38:04:80",,,"渡邊陽","パス",,
="0:38:05:36",,,"森海渡","ボールロスト",,
